web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,Price,No_bd,No_ba,Sqft,Address,Zestimate,Est_pmt,Townhouse,Year_built,Price_sqft
1641078736-175,"https://www.zillow.com/homes/McLean,-VA_rb/",,https://www.zillow.com/homedetails/7500-Blaise-Trl-McLean-VA-22102/51727697_zpid/,"$1,300,000 ",4,4,"2,495","7500 Blaise Trl, McLean, VA 22102","$1,300,600 ","$5,836/mo",Single family residence,Built in 1973,$521 price/sqft
1641078752-176,"https://www.zillow.com/homes/McLean,-VA_rb/",,https://www.zillow.com/homedetails/1148-Bellview-Rd-Mc-Lean-VA-22102/51724630_zpid/,"$1,325,000 ",4,3,"3,239","1148 Bellview Rd, Mc Lean, VA 22102","$1,299,400 ","$5,948/mo",Single family residence,Built in 1963,$409 price/sqft
1641078766-177,"https://www.zillow.com/homes/McLean,-VA_rb/",,https://www.zillow.com/homedetails/1418-Homeric-Ct-Mc-Lean-VA-22101/51751395_zpid/,"$2,399,888 ",5,7,"7,103","1418 Homeric Ct, Mc Lean, VA 22101","$2,376,600 ","$10,774/mo",Single family residence,"Forced air, natural gas",null
1641078795-179,"https://www.zillow.com/homes/McLean,-VA_rb/",,https://www.zillow.com/homedetails/6711-Van-Fleet-Dr-McLean-VA-22101/51755240_zpid/,"$2,390,000 ",6,8,"7,211","6711 Van Fleet Dr, McLean, VA 22101","$2,349,300 ","$10,729/mo",Single family residence,Built in 2021,$331 price/sqft
1641078704-173,"https://www.zillow.com/homes/McLean,-VA_rb/",,https://www.zillow.com/community/pci-22101/2092022383_zpid/,from,5,4,"3,100","Buildable plan: 1830 Hileman, PCI - 22101, McLean, VA 22101",null,"$7,575/mo",Singlefamily,Built in 2022,$544 price/sqft
1641078781-178,"https://www.zillow.com/homes/McLean,-VA_rb/",,https://www.zillow.com/homedetails/1944-Kirby-Rd-McLean-VA-22101/51781017_zpid/,"$1,197,000 ",5,3,"3,100","1944 Kirby Rd, McLean, VA 22101","$1,238,300 ","$5,374/mo",Single family residence,Built in 1955,$386 price/sqft
1641078809-180,"https://www.zillow.com/homes/McLean,-VA_rb/",,https://www.zillow.com/homedetails/6719-Danforth-St-McLean-VA-22101/51755105_zpid/,"$2,390,000 ",6,7,"7,100","6719 Danforth St, McLean, VA 22101",null,"$10,729/mo",Single family residence,"Programmable thermostat, natural gas",null
1641078720-174,"https://www.zillow.com/homes/McLean,-VA_rb/",,https://www.zillow.com/homedetails/1151-Randolph-Rd-McLean-VA-22101/51752181_zpid/,"$840,000 ",4,4,"1,512","1151 Randolph Rd, McLean, VA 22101",null,"$3,933/mo",Townhouse,Built in 1967,$556 price/sqft
1641078826-181,"https://www.zillow.com/homes/McLean,-VA_rb/",,https://www.zillow.com/homedetails/6518-Ivy-Hill-Dr-McLean-VA-22101/51780780_zpid/,"$999,000 ",5,2,"1,195","6518 Ivy Hill Dr, McLean, VA 22101","$1,186,500 ","$4,495/mo",Single family residence,Built in 1951,$836 price/sqft
