web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,Price,No_bd,No_ba,Sqft,Address,Est_pmt,Zestimate,Townhouse,Year_built,Price_sqft
1641069518-131,"https://www.zillow.com/homes/Manassas,-VA_rb/",,https://www.zillow.com/homedetails/9710-Sudley-Manor-Dr-Manassas-VA-20109/12453072_zpid/,"$499,000 ",4,3,"2,148","9710 Sudley Manor Dr, Manassas, VA 20109","$2,293/mo","$480,400 ",Single family residence,Built in 1969,$232 price/sqft
1641069582-136,"https://www.zillow.com/homes/Manassas,-VA_rb/",,https://www.zillow.com/homedetails/9216-Portner-Ave-Manassas-VA-20110/192607790_zpid/,"$889,000 ",6,7,"4,396","9216 Portner Ave, Manassas, VA 20110","$4,283/mo","$863,500 ",Single family residence,Built in 2015,$202 price/sqft
1641069502-130,"https://www.zillow.com/homes/Manassas,-VA_rb/",,https://www.zillow.com/community/blackburn-single-family-homes/2084891479_zpid/,"$719,990 ",4,3,"3,174","Buildable plan: Columbia, Blackburn Single-Family Homes, Manassas, VA 20109","$3,270/mo",null,Singlefamily,Built in 2022,$227 price/sqft
1641069555-134,"https://www.zillow.com/homes/Manassas,-VA_rb/",,https://www.zillow.com/homedetails/110-0110-Blackburn-Ridge-Dr-Manassas-VA-20109/2075299102_zpid/,"$719,990 ",4,3,"3,262","110-0110 Blackburn Ridge Dr, Manassas, VA 20109","$3,333/mo","$720,000 ",Single family residence,Built in 2021,$221 price/sqft
1641069568-135,"https://www.zillow.com/homes/Manassas,-VA_rb/",,https://www.zillow.com/homedetails/6008-Omega-Ln-Manassas-VA-20112/65225205_zpid/,"$539,995 ",4,4,"2,354","6008 Omega Ln, Manassas, VA 20112","$2,518/mo","$510,600 ",Single family residence,Built in 2004,$229 price/sqft
1641069476-128,"https://www.zillow.com/homes/Manassas,-VA_rb/",,https://www.zillow.com/homedetails/7631-Bland-Dr-Manassas-VA-20109/12454033_zpid/,"$515,000 ",4,3,"2,300","7631 Bland Dr, Manassas, VA 20109","$2,366/mo","$515,100 ",Single family residence,Built in 1972,$224 price/sqft
1641069490-129,"https://www.zillow.com/homes/Manassas,-VA_rb/",,https://www.zillow.com/homedetails/10790-Hinton-Way-Manassas-VA-20112/124210642_zpid/,"$535,000 ",4,4,"2,322","10790 Hinton Way, Manassas, VA 20112","$2,541/mo","$535,500 ",Townhouse,Built in 2017,$230 price/sqft
1641069544-133,"https://www.zillow.com/homes/Manassas,-VA_rb/",,https://www.zillow.com/homedetails/9559-Jefferson-St-Manassas-VA-20110/2067016217_zpid/,"$716,859 ",4,4,"3,249","9559 Jefferson St, Manassas, VA 20110","$3,553/mo",null,Single family residence,Built in 2022,$221 price/sqft
1641069531-132,"https://www.zillow.com/homes/Manassas,-VA_rb/",,https://www.zillow.com/homedetails/440-0440-Blackburn-Ridge-Dr-Manassas-VA-20109/2077346035_zpid/,"$779,990 ",4,4,"4,469","440-0440 Blackburn Ridge Dr, Manassas, VA 20109","$3,606/mo","$780,000 ",Single family residence,Built in 2021,$175 price/sqft
