web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,Price,No_bd,No_ba,Sqft,Address,Est_pmt,Zestimate,Townhouse,Price_sqft,Year_built
1641067293-94,"https://www.zillow.com/homes/Chantilly,-VA_rb/",,https://www.zillow.com/homedetails/42275-Makintosh-Farm-Ter-Chantilly-VA-20152/251681775_zpid/,"$899,990 ",3,4,"2,706","42275 Makintosh Farm Ter, Chantilly, VA 20152","$4,341/mo","$900,000 ",Townhouse,$333 price/sqft,Built in 2021
1641067270-92,"https://www.zillow.com/homes/Chantilly,-VA_rb/",,https://www.zillow.com/homedetails/14600-Pan-Am-Ave-Chantilly-VA-20151/2068008464_zpid/,"$55,000 ",3,2,"1,120","14600 Pan Am Ave, Chantilly, VA 20151",$277/mo,null,Single family residence,$49 price/sqft,Built in 1997
1641067346-98,"https://www.zillow.com/homes/Chantilly,-VA_rb/",,https://www.zillow.com/homedetails/24868-Bristol-Grove-Ct-Chantilly-VA-20152/245711487_zpid/,"$899,990 ",5,5,"3,787","24868 Bristol Grove Ct, Chantilly, VA 20152","$4,246/mo","$878,300 ",Single family residence,$238 price/sqft,Built in 2015
1641067360-99,"https://www.zillow.com/homes/Chantilly,-VA_rb/",,https://www.zillow.com/homedetails/43336-Semolina-Ter-Chantilly-VA-20152/124398844_zpid/,"$650,000 ",3,4,"3,164","43336 Semolina Ter, Chantilly, VA 20152","$3,093/mo","$691,000 ",Townhouse,$205 price/sqft,Built in 2015
1641067321-96,"https://www.zillow.com/homes/Chantilly,-VA_rb/",,https://www.zillow.com/community/prosperity-plains/2067577243_zpid/,"$899,990 ",3,4,"2,706","Buildable plan: POWERhaus, Prosperity Plains, Chantilly, VA 20152","$4,357/mo",null,Townhouse,No data,Built in 2022
1641067334-97,"https://www.zillow.com/homes/Chantilly,-VA_rb/",,https://www.zillow.com/community/retreat-at-westfields/2069808008_zpid/,"$679,900 ",3,4,"2,373","Buildable plan: The Richmond at Retreat at Westfields, Retreat At Westfields, Chantilly, VA 20151","$3,062/mo",null,Townhouse,$287 price/sqft,Built in 2022
1641067309-95,"https://www.zillow.com/homes/Chantilly,-VA_rb/",,https://www.zillow.com/homedetails/25476-Upper-Clubhouse-Dr-Chantilly-VA-20152/12402257_zpid/,"$499,900 ",3,4,"1,896","25476 Upper Clubhouse Dr, Chantilly, VA 20152","$2,417/mo","$511,000 ",Townhouse,$264 price/sqft,Built in 1995
1641067375-100,"https://www.zillow.com/homes/Chantilly,-VA_rb/",,https://www.zillow.com/homedetails/24851-Durham-Field-Ter-Chantilly-VA-20152/245713995_zpid/,"$680,000 ",3,4,"2,610","24851 Durham Field Ter, Chantilly, VA 20152","$3,230/mo","$656,000 ",Townhouse,$261 price/sqft,Built in 2017
1641067280-93,"https://www.zillow.com/homes/Chantilly,-VA_rb/",,https://www.zillow.com/community/retreat-at-westfields/2069343963_zpid/,"$719,990 ",3,3,"2,320","Buildable plan: The Clarion, The Retreat at Westfields, Chantilly, VA 20151","$3,243/mo",null,Townhouse,$310 price/sqft,Built in 2022
