web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,Price,No_bd,No_ba,Sqft,Address,Est_pmt,Zestimate,Townhouse,Year_built,Price_sqft
"1641070457-154","https://www.zillow.com/homes/Alexandria,-VA_rb/","","https://www.zillow.com/homedetails/826-S-Lee-St-Alexandria-VA-22314/192123164_zpid/","$760,000","3","2","1,724","826 S Lee St, Alexandria, VA 22314","$3,389/mo","$821,700","Townhouse","Built in 1953","null"
"1641070360-148","https://www.zillow.com/homes/Alexandria,-VA_rb/","","https://www.zillow.com/homedetails/7124-Beulah-St-Alexandria-VA-22315/51949403_zpid/","$1,299,000","7","6","4,945","7124 Beulah St, Alexandria, VA 22315","$5,827/mo","$1,317,200","Single family residence","Built in 2015","null"
"1641070344-147","https://www.zillow.com/homes/Alexandria,-VA_rb/","","https://www.zillow.com/homedetails/6002-Wendron-Way-Alexandria-VA-22315/51948449_zpid/","$699,000","4","4","2,344","6002 Wendron Way, Alexandria, VA 22315","$3,628/mo","$714,000","Townhouse","Built in 1994","$298 price/sqft"
"1641070392-150","https://www.zillow.com/homes/Alexandria,-VA_rb/","","https://www.zillow.com/homedetails/304-Skyhill-Rd-Alexandria-VA-22314/192131865_zpid/","$975,000","3","2","2,144","304 Skyhill Rd, Alexandria, VA 22314","$4,347/mo","null","Single family residence","Built in 1953","null"
"1641070426-152","https://www.zillow.com/homes/Alexandria,-VA_rb/","","https://www.zillow.com/homedetails/5650-Tower-Hill-Cir-Alexandria-VA-22315/65723329_zpid/","$1,000,000","5","5","4,552","5650 Tower Hill Cir, Alexandria, VA 22315","$4,597/mo","$987,900","Singlefamily","Built in 2004","$220 price/sqft"
"1641070375-149","https://www.zillow.com/homes/Alexandria,-VA_rb/","","https://www.zillow.com/homedetails/1004-W-Braddock-Rd-Alexandria-VA-22302/192130523_zpid/","$995,000","4","4","2,300","1004 W Braddock Rd, Alexandria, VA 22302","$4,437/mo","$995,000","Single family residence","Built in 1962","null"
"1641070441-153","https://www.zillow.com/homes/Alexandria,-VA_rb/","","https://www.zillow.com/homedetails/1226-N-Chambliss-St-Alexandria-VA-22312/192137904_zpid/","$725,000","4","3","2,154","1226 N Chambliss St, Alexandria, VA 22312","$3,233/mo","$718,700","Single family residence","Built in 1958","null"
"1641070330-146","https://www.zillow.com/homes/Alexandria,-VA_rb/","","https://www.zillow.com/homedetails/3801-Taft-Ave-Alexandria-VA-22304/192133775_zpid/","$975,000","5","3","2,900","3801 Taft Ave, Alexandria, VA 22304","$4,347/mo","$975,700","Single family residence","Built in 1940","null"
"1641070407-151","https://www.zillow.com/homes/Alexandria,-VA_rb/","","https://www.zillow.com/homedetails/153-Martin-Ln-Alexandria-VA-22304/192154495_zpid/","$699,900","3","4","2,296","153 Martin Ln, Alexandria, VA 22304","$3,254/mo","$695,900","Townhouse","Built in 1999","$305 price/sqft"
