web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,Price,No_bd,No_ba,Sqft,Address,Est_pmt,Zestimate,Townhouse,Price_sqft,Year_built
"1641070830-162","https://www.zillow.com/homes/Annandale,-VA_rb/","","https://www.zillow.com/homedetails/3701-Chanel-Rd-Annandale-VA-22003/51847794_zpid/","$979,000","6","4","3,293","3701 Chanel Rd, Annandale, VA 22003","$4,398/mo","$872,000","Single family residence","null","Built in 1964"
"1641070846-163","https://www.zillow.com/homes/Annandale,-VA_rb/","","https://www.zillow.com/homedetails/5013-King-Richard-Dr-Annandale-VA-22003/51879124_zpid/","$699,000","4","3","3,012","5013 King Richard Dr, Annandale, VA 22003","$3,140/mo","$699,500","Single family residence","null","Built in 1965"
"1641070723-155","https://www.zillow.com/homes/Annandale,-VA_rb/","","https://www.zillow.com/homedetails/4900-Herkimer-St-Annandale-VA-22003/51876782_zpid/","$650,000","5","4","1,992","4900 Herkimer St, Annandale, VA 22003","$3,043/mo","$667,300","Townhouse","$326 price/sqft","Built in 1973"
"1641070799-160","https://www.zillow.com/homes/Annandale,-VA_rb/","","https://www.zillow.com/homedetails/4914-Wakefield-Chapel-Rd-Annandale-VA-22003/51879146_zpid/","$729,999","4","3","1,998","4914 Wakefield Chapel Rd, Annandale, VA 22003","$3,279/mo","$735,300","Single family residence","null","Built in 1965"
"1641070737-156","https://www.zillow.com/homes/Annandale,-VA_rb/","","https://www.zillow.com/homedetails/4053-Thornton-St-Annandale-VA-22003/2067460230_zpid/","$1,759,000","5","6","6,920","4053 Thornton St, Annandale, VA 22003","$8,040/mo","$1,766,200","Single family residence","$254 price/sqft","Built in 2022"
"1641070814-161","https://www.zillow.com/homes/Annandale,-VA_rb/","","https://www.zillow.com/homedetails/3429-Charleson-St-Annandale-VA-22003/51843879_zpid/","$770,000","5","5","3,596","3429 Charleson St, Annandale, VA 22003","$3,459/mo","$751,300","Single family residence","null","Built in 1964"
"1641070785-159","https://www.zillow.com/homes/Annandale,-VA_rb/","","https://www.zillow.com/homedetails/4018-Travis-Pkwy-Annandale-VA-22003/118440251_zpid/","$1,199,900","7","6","5,327","4018 Travis Pkwy, Annandale, VA 22003","$5,382/mo","null","Single family residence","null","Built in 2011"
"1641070768-158","https://www.zillow.com/homes/Annandale,-VA_rb/","","https://www.zillow.com/homedetails/4904-Terrell-St-Annandale-VA-22003/51880241_zpid/","$749,900","4","3","2,178","4904 Terrell St, Annandale, VA 22003","$3,369/mo","$763,100","Single family residence","null","Built in 1959"
"1641070751-157","https://www.zillow.com/homes/Annandale,-VA_rb/","","https://www.zillow.com/homedetails/4055-Thornton-St-Annandale-VA-22003/2067251072_zpid/","$1,639,000","6","8","6,920","4055 Thornton St, Annandale, VA 22003","$7,502/mo","null","Single family residence","null","Forced air, natural gas"
