web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,Price,No_bd,No_ba,Sqft,Address,Est_pmt,Zestimate,Townhouse,Price_sqft,Year_built
"1641071509-164","https://www.zillow.com/homes/Arlington,-VA_rb/","","https://www.zillow.com/community/pci-22205/2079938834_zpid/","$1,899,999","5","5","3,400","Buildable plan: Nevis, PCI 22205, Arlington, VA 22205","$8,348/mo","null","Singlefamily","$559 price/sqft","Built in 2022"
"1641071651-170","https://www.zillow.com/homes/Arlington,-VA_rb/","","https://www.zillow.com/homedetails/2244-23rd-St-S-Arlington-VA-22202/2072202892_zpid/","null","3","5","2,300","2244 23rd St S, Arlington, VA 22202","$4,288/mo","$918,500","Townhouse","$407 price/sqft","Energy star qualified equipment, natural gas"
"1641071551-165","https://www.zillow.com/homes/Arlington,-VA_rb/","","https://www.zillow.com/homedetails/2232-23rd-St-S-Arlington-VA-22202/2072202893_zpid/","null","3","5","2,300","2232 23rd St S, Arlington, VA 22202","$4,333/mo","$928,400","Townhouse","$411 price/sqft","Energy star qualified equipment, natural gas"
"1641071613-168","https://www.zillow.com/homes/Arlington,-VA_rb/","","https://www.zillow.com/homedetails/1420-S-Glebe-Rd-Arlington-VA-22204/12094226_zpid/","null","3","4","2,382","1420 S Glebe Rd, Arlington, VA 22204","$3,942/mo","$895,000","Single family residence","$376 price/sqft","Built in 2006"
"1641071685-172","https://www.zillow.com/homes/Arlington,-VA_rb/","","https://www.zillow.com/community/pci-22207/2091354269_zpid/","$1,959,866","5","4","3,500","Buildable plan: Battery Park, PCI -22207, Arlington, VA 22207","$8,611/mo","null","Singlefamily","$560 price/sqft","Built in 2022"
"1641071670-171","https://www.zillow.com/homes/Arlington,-VA_rb/","","https://www.zillow.com/homedetails/2620-N-Sycamore-St-Arlington-VA-22207/12056256_zpid/","null","4","4","3,442","2620 N Sycamore St, Arlington, VA 22207","$7,535/mo","$1,700,600","Single family residence","null","Energy star qualified equipment, 90% forced air, central, natural gas"
"1641071574-166","https://www.zillow.com/homes/Arlington,-VA_rb/","","https://www.zillow.com/community/pci-22207/2091354254_zpid/","$1,987,554","5","5","3,800","Buildable plan: 3518 N. Kensington, PCI -22207, Arlington, VA 22207","$8,733/mo","null","Singlefamily","$523 price/sqft","Built in 2022"
"1641071591-167","https://www.zillow.com/homes/Arlington,-VA_rb/","","https://www.zillow.com/community/pci-22207/2091354261_zpid/","$1,950,956","5","5","3,800","Buildable plan: Kensington, PCI -22207, Arlington, VA 22207","$8,572/mo","null","Singlefamily","$513 price/sqft","Built in 2022"
"1641071629-169","https://www.zillow.com/homes/Arlington,-VA_rb/","","https://www.zillow.com/homedetails/2252-23rd-St-S-Arlington-VA-22202/2072209887_zpid/","null","3","5","2,300","2252 23rd St S, Arlington, VA 22202","$4,325/mo","$929,600","Townhouse","$411 price/sqft","Energy star qualified equipment, natural gas"
